fecha,banco,monto,cuentas,operaciones,dispositivos_android,dispositivos_ios
2020-09-01,otros,62250181.5,73682.0,56078.5,4938701.0,1597143.0
2020-10-01,otros,67016927.0,63455.0,66929.5,5575963.0,1757739.0
2020-11-01,otros,85331698.0,54544.0,73104.0,6142203.0,1908697.0
2020-12-01,otros,108268659.5,52657.0,88169.0,6682017.0,2073589.0
2021-01-01,otros,83361370.5,46792.0,73459.0,7248995.0,2232731.0
2021-02-01,otros,88067286.0,41522.0,72221.5,7669462.0,2372193.0
2021-03-01,otros,104718843.5,46889.0,81668.5,8106512.0,2531450.0
2021-04-01,otros,89257915.5,46216.0,79571.0,8498191.0,2707591.0
2021-05-01,otros,94362956.0,42781.0,85250.5,8876227.0,2875971.0
2021-06-01,otros,83001061.5,43715.0,77829.0,9225814.0,3010399.0
2021-07-01,otros,83876713.5,56613.0,88882.5,9595034.0,3142592.0
2021-08-01,otros,82117374.5,55619.0,88879.5,10086910.0,3274232.0
2021-09-01,otros,80182445.0,47123.0,90874.0,10530505.0,3414431.0
2021-10-01,otros,85221415.5,44220.0,101533.5,10949698.0,3551784.0
2021-11-01,otros,93176330.5,46540.0,102470.5,11383238.0,3715522.0
2021-12-01,otros,112865519.5,47459.0,118919.5,11800314.0,3885700.0
2022-01-01,otros,93008774.5,42472.0,99890.0,12088216.0,4051653.0
2022-02-01,otros,87483946.5,35810.0,100497.5,12379124.0,4189027.0
2022-03-01,otros,99100189.0,40692.0,116875.5,12832731.0,4340792.0
2022-04-01,otros,96205522.5,35833.0,109076.0,13135106.0,4482829.0
2022-05-01,otros,104645908.0,30436.0,117517.5,13398955.0,4626078.0
2022-06-01,otros,96437327.0,35795.0,115063.0,13711691.0,4780526.0
2022-07-01,otros,97752379.0,31889.0,116472.0,13988821.0,4924567.0
2022-08-01,otros,97530501.0,31572.0,121852.5,14312589.0,5068063.0
2022-09-01,otros,95611754.0,31975.0,121468.0,14629420.0,5207742.0
2022-10-01,otros,101161067.0,31742.0,130569.0,14942585.0,5370886.0
2022-11-01,otros,103662557.0,31468.0,128213.5,15241582.0,5539329.0
2022-12-01,otros,126537809.0,31427.0,143394.5,15548774.0,5717516.0
2023-01-01,otros,106589600.5,31520.0,129784.5,15859693.0,5901818.0
2023-02-01,otros,97507335.0,26209.0,120087.0,16119170.0,6058867.0
2023-03-01,otros,113668275.5,28150.0,135222.5,16424635.0,6234730.0
2023-04-01,otros,110340979.0,25624.0,119929.5,16711362.0,6400527.0
2023-05-01,otros,139670712.5,25987.0,134153.0,17018006.0,6503404.0
2023-06-01,otros,112645849.0,26256.0,128658.5,17335498.0,6529526.0
2023-07-01,otros,102436550.5,26165.0,118694.5,17646067.0,6707819.0
2023-08-01,otros,102207972.5,29510.0,125524.5,17941069.0,6904966.0
2023-09-01,otros,100756754.0,23435.0,126612.0,18227346.0,7046289.0
2023-10-01,otros,104438536.5,38055.0,129101.5,18452822.0,7133646.0
2023-11-01,otros,106058120.5,29821.0,127694.0,18672046.0,7219981.0
2023-12-01,otros,117634002.5,28023.0,137145.5,18894750.0,7129734.0
2024-01-01,otros,106009788.0,32590.0,131680.0,19124479.0,7675596.0
2024-02-01,otros,104755229.5,26298.0,126219.0,19331135.0,7747889.0
2024-03-01,otros,101814657.0,29093.0,132165.5,19542150.0,7830447.0
2024-04-01,otros,98058416.0,28519.0,131501.0,19748791.0,7928203.0
